1.2949370000,0.5149105000,1.2119720000,0.9954655000,0.9260504000,1.0107540000,1.0243520000,1.1008450000,1.0144850000,1.0689110000,1.5543460000,1.0116580000,1.0746640000,0.8996834000,1.0005370000
1.2948630000,0.5278924000,1.2141830000,0.9952525000,0.9272457000,1.0114470000,1.0238050000,1.1014810000,1.0145520000,1.0686010000,1.5523040000,1.0114490000,1.0736270000,0.8974232000,0.9995258000
1.2950940000,0.5414851000,1.2162840000,0.9950087000,0.9303293000,1.0126890000,1.0229370000,1.1021900000,1.0147020000,1.0683030000,1.5496130000,1.0113090000,1.0730020000,0.8961565000,0.9990689000
1.2952450000,0.5479684000,1.2172760000,0.9953056000,0.9348021000,1.0143950000,1.0224760000,1.1050790000,1.0153470000,1.0684560000,1.5445440000,1.0118190000,1.0729380000,0.8947007000,0.9991556000
1.2953460000,0.5668569000,1.2202260000,0.9958051000,0.9401883000,1.0168230000,1.0215890000,1.1088890000,1.0164230000,1.0684610000,1.5346530000,1.0124830000,1.0721660000,0.8914217000,0.9988372000
1.2954310000,0.5907972000,1.2236900000,0.9959372000,0.9443240000,1.0183320000,1.0205510000,1.1135360000,1.0168950000,1.0677730000,1.5265920000,1.0120030000,1.0715960000,0.8900774000,0.9988977000
1.2953400000,0.6140247000,1.2269530000,0.9962616000,0.9445671000,1.0185000000,1.0199710000,1.1188870000,1.0172930000,1.0674300000,1.5208280000,1.0118020000,1.0719230000,0.8915335000,1.0002910000
1.2954910000,0.6261685000,1.2286030000,0.9967788000,0.9447341000,1.0188220000,1.0196780000,1.1251840000,1.0178770000,1.0674450000,1.5185500000,1.0117360000,1.0723340000,0.8915784000,1.0010530000
1.2959710000,0.6370935000,1.2300740000,0.9969525000,0.9440089000,1.0192020000,1.0192580000,1.1279330000,1.0182720000,1.0667030000,1.5135510000,1.0107760000,1.0716040000,0.8881060000,0.9999201000
1.2967970000,0.6449146000,1.2311780000,0.9969310000,0.9429778000,1.0195380000,1.0189260000,1.1255910000,1.0181790000,1.0654320000,1.5085390000,1.0092190000,1.0701400000,0.8839985000,0.9978954000
1.2969310000,0.6528141000,1.2324630000,0.9969471000,0.9410314000,1.0202210000,1.0186160000,1.1190960000,1.0185640000,1.0638850000,1.4953240000,1.0079000000,1.0680750000,0.8769056000,0.9952276000
1.2962750000,0.6634642000,1.2341880000,0.9978732000,0.9396531000,1.0213870000,1.0189520000,1.1137450000,1.0195110000,1.0635990000,1.4794670000,1.0084480000,1.0677910000,0.8743814000,0.9954821000
1.2957720000,0.6666382000,1.2347410000,0.9981898000,0.9392920000,1.0217430000,1.0191920000,1.1139840000,1.0197410000,1.0640970000,1.4807810000,1.0089880000,1.0684210000,0.8763452000,0.9963460000
1.2944750000,0.6885701000,1.2377360000,0.9990970000,0.9381005000,1.0228310000,1.0196660000,1.1120450000,1.0204660000,1.0642290000,1.4740210000,1.0094630000,1.0687510000,0.8773205000,0.9973031000
1.2930670000,0.6920680000,1.2384960000,0.9999639000,0.9361684000,1.0241340000,1.0207560000,1.1086510000,1.0220070000,1.0647340000,1.4604370000,1.0107080000,1.0691440000,0.8731819000,0.9970763000
1.2924220000,0.6930240000,1.2387360000,1.0002000000,0.9350960000,1.0246760000,1.0211310000,1.1060270000,1.0227000000,1.0645730000,1.4494490000,1.0111000000,1.0687600000,0.8690124000,0.9962683000
1.2909490000,0.6958052000,1.2392970000,1.0014240000,0.9341678000,1.0258980000,1.0222810000,1.1023150000,1.0243400000,1.0653110000,1.4255670000,1.0134230000,1.0698070000,0.8662410000,0.9980460000
1.2898700000,0.6915038000,1.2390690000,1.0028620000,0.9338294000,1.0270850000,1.0236850000,1.1011020000,1.0259710000,1.0664230000,1.4051880000,1.0159340000,1.0712220000,0.8632985000,0.9998627000
1.2889560000,0.6925914000,1.2393550000,1.0045570000,0.9340933000,1.0282510000,1.0251350000,1.1010990000,1.0275160000,1.0675850000,1.3842220000,1.0185180000,1.0728380000,0.8611593000,1.0022890000
1.2890100000,0.6948860000,1.2398670000,1.0056900000,0.9330792000,1.0294390000,1.0261890000,1.0983150000,1.0289530000,1.0677970000,1.3598250000,1.0200730000,1.0734610000,0.8552707000,1.0030450000
1.2897640000,0.6894800000,1.2396260000,1.0071210000,0.9323717000,1.0307590000,1.0275120000,1.0961940000,1.0306040000,1.0678250000,1.3349650000,1.0213940000,1.0738450000,0.8482455000,1.0032050000
1.2902440000,0.6824294000,1.2392860000,1.0077320000,0.9300650000,1.0320030000,1.0283830000,1.0889550000,1.0323410000,1.0670110000,1.3006550000,1.0223880000,1.0730040000,0.8359870000,1.0016100000
1.2913900000,0.6656503000,1.2379300000,1.0083720000,0.9280618000,1.0331670000,1.0294170000,1.0805340000,1.0343920000,1.0667580000,1.2622740000,1.0244150000,1.0730650000,0.8250600000,1.0015390000
1.2926570000,0.6391745000,1.2352260000,1.0091810000,0.9276859000,1.0338990000,1.0306390000,1.0779480000,1.0359810000,1.0673890000,1.2396380000,1.0265170000,1.0737690000,0.8185738000,1.0020350000
1.2943460000,0.6059167000,1.2313620000,1.0095860000,0.9280182000,1.0340880000,1.0318000000,1.0792910000,1.0370640000,1.0684290000,1.2272230000,1.0284480000,1.0750860000,0.8131663000,1.0027490000
1.2964760000,0.5729316000,1.2269410000,1.0099790000,0.9288536000,1.0340920000,1.0329580000,1.0831060000,1.0378670000,1.0697860000,1.2248180000,1.0301140000,1.0758520000,0.8072510000,1.0023830000
